png_name	pred	gt	i	ii	iii	iv	v	vi	vii	viii	ix	x
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iii\b37d40e8-ce5d-11eb-b317-38f9d35ea60f.png	vii	iii	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iv\ade63e96-ce5d-11eb-b317-38f9d35ea60f.png	v	iv	0.0	0.0	0.0	0.1	0.9	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iv\adeb61fa-ce5d-11eb-b317-38f9d35ea60f.png	ii	iv	0.0	0.53	0.12	0.35	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iv\ae3e8740-ce5d-11eb-b317-38f9d35ea60f.png	ix	iv	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.83	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iv\ae67fc06-ce5d-11eb-b317-38f9d35ea60f.png	ii	iv	0.0	0.81	0.14	0.04	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iv\ae6f1bda-ce5d-11eb-b317-38f9d35ea60f.png	ii	iv	0.0	0.65	0.0	0.34	0.0	0.0	0.0	0.0	0.01	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iv\ae8b5cdc-ce5d-11eb-b317-38f9d35ea60f.png	v	iv	0.0	0.0	0.0	0.01	0.98	0.01	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\iv\b247068c-ce5d-11eb-b317-38f9d35ea60f.png	ix	iv	0.0	0.04	0.05	0.0	0.0	0.02	0.0	0.0	0.89	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\ae9596d4-ce5d-11eb-b317-38f9d35ea60f.png	iv	ix	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.24	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\aeb08eb2-ce5d-11eb-b317-38f9d35ea60f.png	vi	ix	0.0	0.0	0.0	0.0	0.0	0.98	0.02	0.0	0.01	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\aef10366-ce5d-11eb-b317-38f9d35ea60f.png	iv	ix	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.48	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\af149164-ce5d-11eb-b317-38f9d35ea60f.png	ii	ix	0.19	0.61	0.0	0.06	0.0	0.05	0.0	0.01	0.02	0.05
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\b274b906-ce5d-11eb-b317-38f9d35ea60f.png	iv	ix	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.02	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\b27771c8-ce5d-11eb-b317-38f9d35ea60f.png	iv	ix	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\b27d3298-ce5d-11eb-b317-38f9d35ea60f.png	iv	ix	0.0	0.0	0.0	0.98	0.0	0.0	0.0	0.0	0.02	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\b293d5ca-ce5d-11eb-b317-38f9d35ea60f.png	vi	ix	0.0	0.01	0.0	0.24	0.19	0.49	0.01	0.0	0.0	0.06
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\ix\b2ab71ee-ce5d-11eb-b317-38f9d35ea60f.png	iv	ix	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.12	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\v\b2c0f53c-ce5d-11eb-b317-38f9d35ea60f.png	i	v	0.56	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.41
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vi\aaefbfe6-ce5d-11eb-b317-38f9d35ea60f.png	iv	vi	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vi\aaf6f9aa-ce5d-11eb-b317-38f9d35ea60f.png	ii	vi	0.0	0.77	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vi\ab25e706-ce5d-11eb-b317-38f9d35ea60f.png	ii	vi	0.0	0.58	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vi\b1152c12-ce5d-11eb-b317-38f9d35ea60f.png	v	vi	0.0	0.0	0.0	0.0	0.99	0.01	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vi\b11a54da-ce5d-11eb-b317-38f9d35ea60f.png	vii	vi	0.0	0.0	0.0	0.0	0.0	0.17	0.82	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vi\b1223880-ce5d-11eb-b317-38f9d35ea60f.png	ii	vi	0.0	0.62	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vi\b12d1732-ce5d-11eb-b317-38f9d35ea60f.png	vii	vi	0.0	0.0	0.0	0.0	0.05	0.29	0.66	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vi\b1309ea2-ce5d-11eb-b317-38f9d35ea60f.png	vii	vi	0.0	0.0	0.0	0.0	0.0	0.03	0.97	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\ac740192-ce5d-11eb-b317-38f9d35ea60f.png	vi	vii	0.0	0.0	0.0	0.0	0.0	0.92	0.06	0.02	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\ac7ff3e4-ce5d-11eb-b317-38f9d35ea60f.png	vi	vii	0.0	0.0	0.0	0.0	0.0	0.93	0.07	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\ac8c77c2-ce5d-11eb-b317-38f9d35ea60f.png	vi	vii	0.0	0.0	0.0	0.0	0.0	0.51	0.49	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\ac97e86e-ce5d-11eb-b317-38f9d35ea60f.png	viii	vii	0.0	0.03	0.0	0.0	0.0	0.1	0.1	0.63	0.0	0.14
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\ac9cc6e0-ce5d-11eb-b317-38f9d35ea60f.png	viii	vii	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.74	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\ac9ea5d2-ce5d-11eb-b317-38f9d35ea60f.png	vi	vii	0.0	0.0	0.0	0.0	0.0	0.75	0.25	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\acecde5a-ce5d-11eb-b317-38f9d35ea60f.png	viii	vii	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.99	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\b1d54ee8-ce5d-11eb-b317-38f9d35ea60f.png	vi	vii	0.0	0.0	0.0	0.0	0.0	0.77	0.23	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\b1d9e9f8-ce5d-11eb-b317-38f9d35ea60f.png	vi	vii	0.0	0.0	0.0	0.0	0.0	0.56	0.44	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\b1dcbf2a-ce5d-11eb-b317-38f9d35ea60f.png	vi	vii	0.0	0.0	0.0	0.0	0.0	0.94	0.06	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\vii\b1e7e83c-ce5d-11eb-b317-38f9d35ea60f.png	viii	vii	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.51	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\ad06c48c-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\ad0938ca-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.45	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\ad2b2b10-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.11	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\ad3b8bea-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\ad7ace86-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.19	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\ad88b226-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\adaca514-ce5d-11eb-b317-38f9d35ea60f.png	iii	viii	0.0	0.0	0.85	0.0	0.0	0.04	0.01	0.1	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\b1f92782-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\b210d9fe-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.09	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\viii\b23308a8-ce5d-11eb-b317-38f9d35ea60f.png	vii	viii	0.0	0.0	0.01	0.0	0.0	0.0	0.55	0.44	0.0	0.0
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\x\afb465ae-ce5d-11eb-b317-38f9d35ea60f.png	ix	x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.13
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\x\b010f1f2-ce5d-11eb-b317-38f9d35ea60f.png	ix	x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.02
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\x\b0235b76-ce5d-11eb-b317-38f9d35ea60f.png	i	x	0.93	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
D:/RAPI_SERVER/datacentric_competition_v3/new_start\train\x\b31ef10a-ce5d-11eb-b317-38f9d35ea60f.png	v	x	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
